birth_year,count
1918,201
1919,286
1920,33
1921,8
1922,6
1923,9
1924,5
1925,5
1926,3
1927,6
1928,3
1929,1
1930,4
1931,6
1932,5
1933,1
1934,3
1935,435
1936,89
1937,102
1938,12
1939,11
1940,14
1941,6
1942,3
1943,2
1944,11
1945,30
1946,8
1947,9
1948,13
1949,15
1950,55
1951,18
1952,23
1953,32
1954,35
1955,41
1956,55
1957,72
1958,78
1959,80
1960,134
1961,127
1962,142
1963,169
1964,196
1965,248
1966,303
1967,359
1968,418
1969,426
1970,659
1971,614
1972,715
1973,751
1974,891
1975,1096
1976,1175
1977,1475
1978,1718
1979,2154
1980,3065
1981,2974
1982,3832
1983,4312
1984,5179
1985,6596
1986,7722
1987,9074
1988,11536
1989,13111
1990,16739
1991,18281
1992,20450
1993,21284
1994,23003
1995,26289
1996,29201
1997,31526
1998,30561
1999,27729
2000,24390
2001,12795
2002,9302
2003,3247
2004,1020
