birth_year,count
1958,78
1959,80
1960,134
1961,127
1962,142
1963,0
1964,196
1965,248
1966,303
1967,359
1968,418
1969,426
1970,659
1971,614
1972,715
1973,751
1974,891
1975,1096
1976,1175
1977,1475
1978,1718
1979,0
1980,4065
1981,1974
1982,2832
1983,4312
1984,0
1985,6596
1986,7722
1987,9074
1988,11536
1989,0
1990,12739
1991,18281
1992,19450
1993,24284
1994,19003
1995,0
1996,29201
1997,20
1998,38561
1999,34729
2000,64390
2001,9795
2002,7302
2003,1647
2004,820
